code,name,level,province,city,parent_code,path,status,start_year,end_year,new_code,source
110000,北京市,province,北京市,,,北京市,active,1981,,,areacodes
110101,东城区,county,北京市,直辖,110000,北京市/东城区,active,1981,,,areacodes
110102,西城区,county,北京市,直辖,110000,北京市/西城区,active,1981,,,areacodes
110103,崇文区,county,北京市,直辖,110000,北京市/崇文区,retired,1981,2010,110101,areacodes
110104,宣武区,county,北京市,直辖,110000,北京市/宣武区,retired,1981,2010,110102,areacodes
110105,朝阳区,county,北京市,直辖,110000,北京市/朝阳区,active,1981,,,areacodes
110106,丰台区,county,北京市,直辖,110000,北京市/丰台区,active,1981,,,areacodes
110107,石景山区,county,北京市,直辖,110000,北京市/石景山区,active,1981,,,areacodes
110108,海淀区,county,北京市,直辖,110000,北京市/海淀区,active,1981,,,areacodes
110109,门头沟区,county,北京市,直辖,110000,北京市/门头沟区,active,1981,,,areacodes
110110,燕山区,county,北京市,直辖,110000,北京市/燕山区,retired,1981,1986,110111,areacodes
110111,房山区,county,北京市,直辖,110000,北京市/房山区,active,1986,,,areacodes
110112,通州区,county,北京市,直辖,110000,北京市/通州区,active,1997,,,areacodes
110113,顺义区,county,北京市,直辖,110000,北京市/顺义区,active,1998,,,areacodes
110114,昌平区,county,北京市,直辖,110000,北京市/昌平区,active,1999,,,areacodes
110115,大兴区,county,北京市,直辖,110000,北京市/大兴区,active,2001,,,areacodes
110116,怀柔区,county,北京市,直辖,110000,北京市/怀柔区,active,2001,,,areacodes
110117,平谷区,county,北京市,直辖,110000,北京市/平谷区,active,2001,,,areacodes
110118,密云区,county,北京市,直辖,110000,北京市/密云区,active,2015,,,areacodes
110119,延庆区,county,北京市,直辖,110000,北京市/延庆区,active,2015,,,areacodes
110221,昌平县,county,北京市,直辖,110000,北京市/昌平县,retired,1981,1999,110114,areacodes
110222,顺义县,county,北京市,直辖,110000,北京市/顺义县,retired,1981,1998,110113,areacodes
110223,通县,county,北京市,直辖,110000,北京市/通县,retired,1981,1997,110112,areacodes
110224,大兴县,county,北京市,直辖,110000,北京市/大兴县,retired,1981,2001,110115,areacodes
110225,房山县,county,北京市,直辖,110000,北京市/房山县,retired,1981,1986,110111,areacodes
110226,平谷县,county,北京市,直辖,110000,北京市/平谷县,retired,1981,2001,110117,areacodes
110227,怀柔县,county,北京市,直辖,110000,北京市/怀柔县,retired,1981,2001,110116,areacodes
110228,密云县,county,北京市,直辖,110000,北京市/密云县,retired,1981,2015,110118,areacodes
110229,延庆县,county,北京市,直辖,110000,北京市/延庆县,retired,1981,2015,110119,areacodes
120000,天津市,province,天津市,,,天津市,active,1981,,,areacodes
120101,和平区,county,天津市,直辖,120000,天津市/和平区,active,1981,,,areacodes
120102,河东区,county,天津市,直辖,120000,天津市/河东区,active,1981,,,areacodes
120103,河西区,county,天津市,直辖,120000,天津市/河西区,active,1981,,,areacodes
120104,南开区,county,天津市,直辖,120000,天津市/南开区,active,1981,,,areacodes
120105,河北区,county,天津市,直辖,120000,天津市/河北区,active,1981,,,areacodes
120106,红桥区,county,天津市,直辖,120000,天津市/红桥区,active,1981,,120113[2020],areacodes
120107,塘沽区,county,天津市,直辖,120000,天津市/塘沽区,retired,1981,2009,120116,areacodes
120108,汉沽区,county,天津市,直辖,120000,天津市/汉沽区,retired,1981,2009,120116,areacodes
120109,大港区,county,天津市,直辖,120000,天津市/大港区,retired,1981,2009,120116,areacodes
120110,东郊区,county,天津市,直辖,120000,天津市/东郊区,变更,1981,1992,120110,areacodes
120110,东丽区,county,天津市,直辖,120000,天津市/东丽区,active,1992,,,areacodes
120111,西郊区,county,天津市,直辖,120000,天津市/西郊区,变更,1981,1992,120111,areacodes
120111,西青区,county,天津市,直辖,120000,天津市/西青区,active,1992,,,areacodes
120112,南郊区,county,天津市,直辖,120000,天津市/南郊区,变更,1981,1992,120112,areacodes
120112,津南区,county,天津市,直辖,120000,天津市/津南区,active,1992,,,areacodes
120113,北郊区,county,天津市,直辖,120000,天津市/北郊区,变更,1981,1992,120113,areacodes
120113,北辰区,county,天津市,直辖,120000,天津市/北辰区,active,1992,,,areacodes
120114,武清区,county,天津市,直辖,120000,天津市/武清区,active,2000,,,areacodes
120115,宝坻区,county,天津市,直辖,120000,天津市/宝坻区,active,2001,,,areacodes
120116,滨海新区,county,天津市,直辖,120000,天津市/滨海新区,active,2009,,,areacodes
120117,宁河区,county,天津市,直辖,120000,天津市/宁河区,active,2015,,,areacodes
120118,静海区,county,天津市,直辖,120000,天津市/静海区,active,2015,,,areacodes
120119,蓟州区,county,天津市,直辖,120000,天津市/蓟州区,active,2016,,,areacodes
120221,宁河县,county,天津市,直辖,120000,天津市/宁河县,retired,1981,2015,120117,areacodes
120222,武清县,county,天津市,直辖,120000,天津市/武清县,retired,1981,2000,120114,areacodes
120223,静海县,county,天津市,直辖,120000,天津市/静海县,retired,1981,2015,120118,areacodes
120224,宝坻县,county,天津市,直辖,120000,天津市/宝坻县,retired,1981,2001,120115,areacodes
120225,蓟县,county,天津市,直辖,120000,天津市/蓟县,retired,1981,2016,120119,areacodes
130000,河北省,province,河北省,,,河北省,active,1981,,,areacodes
130100,石家庄市,prefecture,河北省,石家庄市,130000,河北省/石家庄市,active,1981,,,areacodes
130102,长安区,county,河北省,石家庄市,130100,河北省/石家庄市/长安区,active,1983,,130108[2001],areacodes
