change_type,year,code,name,old_name,new_name,new_code,source
remapped,,120106,红桥区,,,120113[2020],areacodes
remapped,,130102,长安区,,,130108[2001],areacodes
remapped,,130121,井陉县,,,130107[1992],areacodes
remapped,,130123,正定县,,,130102[2001];130108[2001],areacodes
remapped,,130207,丰南区,,,130209[2012],areacodes
remapped,,130427,磁县,,,130402[2016];130404[2016],areacodes
remapped,,131002,安次区,,,131003[2000],areacodes
remapped,,140221,阳高县,,,140222[2018],areacodes
remapped,,150102,新城区,,,150105[2000],areacodes
remapped,,150404,松山区,,,150402[2005],areacodes
remapped,,150428,喀喇沁旗,,,150403[2005],areacodes
remapped,,150602,东胜区,,,150603[2016],areacodes
remapped,,150700,呼伦贝尔市,,,150703[2013],areacodes
remapped,,152221,科尔沁右翼前旗,,,152202[1996],areacodes
remapped,,210214,普兰店区,,,210213[2016],areacodes
remapped,,210224,长海县,,,210283[2004],areacodes
remapped,,210502,平山区,,,210504[1984],areacodes
remapped,,210881,盖州市,,,210804[2004],areacodes
remapped,,210902,海州区,,,210911[2002],areacodes
remapped,,210911,细河区,,,210902[2002];210903[2002];210904[2002],areacodes
remapped,,211021,辽阳县,,,211005[1984],areacodes
remapped,,211103,兴隆台区,,,211104[2017],areacodes
remapped,,211302,双塔区,,,211303[2006],areacodes
remapped,,211321,朝阳县,,,211302[2006];211303[2006],areacodes
remapped,,211381,北票市,,,211302[2006],areacodes
remapped,,220102,南关区,,,220103[1995],areacodes
remapped,,220103,宽城区,,,220106[1995],areacodes
remapped,,220104,朝阳区,,,220106[1995],areacodes
remapped,,220122,农安县,,,220103[2005],areacodes
remapped,,220183,德惠市,,,220103[2005],areacodes
remapped,,220202,昌邑区,,,220204[1992],areacodes
remapped,,220204,船营区,,,220211[1992],areacodes
remapped,,220221,永吉县,,,220211[1992],areacodes
remapped,,220322,梨树县,,,220302[2016];220302[2017],areacodes
remapped,,220500,通化市,,,220502[1986];220503[1986],areacodes
remapped,,220702,宁江区,,,220721[2008],areacodes
remapped,,220721,前郭尔罗斯蒙古族自治县,,,220702[2008],areacodes
remapped,,220821,镇赉县,,,220802[2005],areacodes
remapped,,230104,道外区,,,230109[2004],areacodes
remapped,,230781,铁力市,,,230725[2019],areacodes
remapped,,230900,七台河市,,,230902[1984];230903[1984];230904[1984],areacodes
remapped,,230902,新兴区,,,230904[2022],areacodes
remapped,,310101,黄浦区,,,310115[1992],areacodes
remapped,,310110,杨浦区,,,310115[1992],areacodes
remapped,,310113,宝山区,,,310230[2005],areacodes
remapped,,320205,锡山区,,,320214[2015],areacodes
remapped,,320211,滨湖区,,,320214[2015],areacodes
remapped,,320312,铜山区,,,320302[2021],areacodes
remapped,,320322,沛县,,,370826[1984],areacodes
remapped,,320412,武进区,,,320402[2015];320404[2015];320411[2015],areacodes
remapped,,320723,灌云县,,,320705[2005],areacodes
remapped,,321003,邗江区,,,321002[2011],areacodes
remapped,,321202,海陵区,,,321203[1997],areacodes
remapped,,321204,姜堰区,,,321202[2019],areacodes
remapped,,321302,宿城区,,,321311[2004],areacodes
remapped,,321311,宿豫区,,,321302[2021],areacodes
remapped,,321323,泗阳县,,,321302[2004],areacodes
remapped,,321324,泗洪县,,,321302[2004],areacodes
remapped,,330105,拱墅区,,,330103[1996],areacodes
remapped,,330106,西湖区,,,330105[1996];330108[1996],areacodes
remapped,,330109,萧山区,,,330114[2021],areacodes
remapped,,330110,余杭区,,,330113[2021],areacodes
remapped,,330212,鄞州区,,,330203[2016],areacodes
